[10:55:38] Discard was WILD!!!
[10:55:38] Player received: Red_D(Clone)
[10:55:38] Enemy1 received: Blue_R(Clone)
[10:55:38] Enemy2 received: Yellow_1(Clone)
[10:55:38] Enemy3 received: Blue_D(Clone)
[10:55:38] Player received: CardW(Clone)
[10:55:38] Enemy1 received: Green_8(Clone)
[10:55:38] Enemy2 received: Yellow_6(Clone)
[10:55:38] Enemy3 received: Red_D(Clone)
[10:55:38] Player received: Blue_8(Clone)
[10:55:38] Enemy1 received: Green_6(Clone)
[10:55:38] Enemy2 received: Red_9(Clone)
[10:55:38] Enemy3 received: CardW(Clone)
[10:55:38] Player received: Yellow_S(Clone)
[10:55:38] Enemy1 received: Green_D(Clone)
[10:55:38] Enemy2 received: Green_D(Clone)
[10:55:38] Enemy3 received: Yellow_2(Clone)
[10:55:38] Player received: CardW4(Clone)
[10:55:38] Enemy1 received: Blue_6(Clone)
[10:55:38] Enemy2 received: Green_R(Clone)
[10:55:38] Enemy3 received: Blue_D(Clone)
[10:55:38] Player received: Red_6(Clone)
[10:55:38] Enemy1 received: Red_6(Clone)
[10:55:38] Enemy2 received: Green_9(Clone)
[10:55:38] Enemy3 received: Yellow_S(Clone)
[10:55:38] Player received: Yellow_8(Clone)
[10:55:38] Enemy1 received: Blue_4(Clone)
[10:55:38] Enemy2 received: Yellow_D(Clone)
[10:55:38] Enemy3 received: Red_D(Clone)
[10:55:38] DiscardPile received: Yellow_7(Clone)
[10:55:38] Dealt cards
[10:55:38] Wild Menu shown
[10:55:38] Player: Played CardW(Clone)
